id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,winddir,windgust,windspeed,venue_city,home_country_id
10419382,2018-09-30T21:00:00,50.631111,3.1375,11.7,0.0,92.5,72.92,1018.1,2018-09-30T19:28:12+02:00,292.0,19.8,9.2,Villeneuve d'Ascq,17
10419383,2018-09-29T20:00:00,45.75322,4.97318,18.0,0.0,0.0,52.74,1018.5,2018-09-29T19:24:36+02:00,354.0,9.4,3.6,Décines-Charpieu,17
10419384,2018-09-30T17:00:00,43.622222,3.811944,21.9,0.0,13.4,68.13,1015.5,2018-09-30T19:28:01+02:00,195.0,25.8,15.3,Montpellier,17
10419385,2018-09-29T17:15:00,43.705139,7.192583,25.4,0.0,,41.03,,2018-09-29T19:16:18+02:00,109.0,4.3,0.8,Nice,17
10419386,2018-09-29T20:00:00,49.246389,4.025,13.2,0.0,0.0,49.08,1022.4,2018-09-29T19:27:20+02:00,49.0,18.4,12.9,Reims,17
10419387,2018-09-30T15:00:00,48.107458,-1.712839,18.1,0.0,88.9,48.45,1020.7,2018-09-30T19:48:33+02:00,349.0,33.2,19.7,Rennes,17
10419388,2018-09-28T20:45:00,45.460833,4.390278,20.4,0.0,,56.62,,2018-09-28T19:28:56+02:00,347.0,9.8,2.4,Saint-etienne,17
10419389,2018-09-29T20:00:00,48.560083,7.755,13.8,0.0,0.0,42.97,1022.1,2018-09-29T19:12:39+02:00,13.0,20.9,13.4,Strasbourg,17
10419390,2018-10-06T20:00:00,49.894209,2.263312,16.7,0.0,57.7,76.36,1007.1,2018-10-06T19:19:03+02:00,2.0,21.8,12.6,Amiens,17
10419391,2018-10-06T20:00:00,47.460458,-0.530741,15.0,0.0,4.6,93.07,1004.9,2018-10-06T19:32:03+02:00,120.0,20.3,10.8,Angers,17
